sender_id,receiver_id,timestamp,message_length,id_x,sender_department,sender_location,sender_age,id_y,receiver_department,receiver_location,receiver_age,month
79,48,2021-06-02 05:41:34,88,79,Sales,France,33,48,IT,France,34,6
79,63,2021-06-02 05:42:15,72,79,Sales,France,33,63,Sales,France,38,6
79,58,2021-06-02 05:44:24,86,79,Sales,France,33,58,Sales,Germany,40,6
79,70,2021-06-02 05:49:07,26,79,Sales,France,33,70,Operations,France,47,6
79,109,2021-06-02 19:51:47,73,79,Sales,France,33,109,Marketing,Brasil,32,6
79,58,2021-06-03 01:12:11,37,79,Sales,France,33,58,Sales,Germany,40,6
144,99,2021-06-03 09:54:41,33,144,Sales,US,50,99,Engineering,UK,34,6
144,105,2021-06-03 09:57:02,80,144,Sales,US,50,105,IT,US,52,6
144,121,2021-06-03 09:59:16,13,144,Sales,US,50,121,Admin,France,43,6
177,32,2021-06-04 07:50:33,32,177,Operations,Brasil,39,32,Sales,UK,54,6
177,180,2021-06-04 07:59:18,85,177,Operations,Brasil,39,180,Operations,US,35,6
177,180,2021-06-04 08:00:22,75,177,Operations,Brasil,39,180,Operations,US,35,6
177,32,2021-06-04 08:01:10,30,177,Operations,Brasil,39,32,Sales,UK,54,6
177,32,2021-06-04 08:08:34,26,177,Operations,Brasil,39,32,Sales,UK,54,6
177,32,2021-06-04 08:10:44,44,177,Operations,Brasil,39,32,Sales,UK,54,6
177,32,2021-06-04 08:17:37,85,177,Operations,Brasil,39,32,Sales,UK,54,6
177,32,2021-06-04 08:26:16,42,177,Operations,Brasil,39,32,Sales,UK,54,6
186,185,2021-06-04 09:08:46,19,186,Engineering,France,57,185,IT,France,39,6
144,185,2021-06-05 00:51:59,67,144,Sales,US,50,185,IT,France,39,6
144,32,2021-06-05 00:57:17,16,144,Sales,US,50,32,Sales,UK,54,6
221,161,2021-06-05 02:26:19,80,221,IT,Germany,54,161,Sales,US,51,6
221,161,2021-06-05 02:32:59,31,221,IT,Germany,54,161,Sales,US,51,6
221,161,2021-06-05 02:39:14,82,221,IT,Germany,54,161,Sales,US,51,6
221,161,2021-06-05 02:42:20,68,221,IT,Germany,54,161,Sales,US,51,6
221,161,2021-06-05 02:45:21,38,221,IT,Germany,54,161,Sales,US,51,6
221,161,2021-06-05 02:50:21,29,221,IT,Germany,54,161,Sales,US,51,6
221,161,2021-06-05 03:04:18,48,221,IT,Germany,54,161,Sales,US,51,6
237,32,2021-06-05 08:47:57,31,237,Operations,France,41,32,Sales,UK,54,6
144,185,2021-06-05 10:20:13,21,144,Sales,US,50,185,IT,France,39,6
144,222,2021-06-05 10:25:25,70,144,Sales,US,50,222,Sales,UK,51,6
144,195,2021-06-05 10:32:29,34,144,Sales,US,50,195,IT,US,23,6
144,88,2021-06-05 10:45:10,36,144,Sales,US,50,88,IT,US,23,6
144,238,2021-06-05 10:47:16,60,144,Sales,US,50,238,Marketing,Germany,36,6
144,240,2021-06-05 10:49:29,27,144,Sales,US,50,240,Engineering,France,59,6
144,23,2021-06-05 10:58:42,78,144,Sales,US,50,23,Sales,Brasil,39,6
144,32,2021-06-05 11:16:47,65,144,Sales,US,50,32,Sales,UK,54,6
144,48,2021-06-05 11:19:34,33,144,Sales,US,50,48,IT,France,34,6
144,48,2021-06-05 11:35:09,85,144,Sales,US,50,48,IT,France,34,6
144,48,2021-06-05 11:39:57,69,144,Sales,US,50,48,IT,France,34,6
144,241,2021-06-05 11:59:41,79,144,Sales,US,50,241,Operations,US,42,6
247,248,2021-06-06 00:04:45,36,247,IT,France,40,248,Engineering,UK,30,6
144,247,2021-06-06 02:23:25,28,144,Sales,US,50,247,IT,France,40,6
260,51,2021-06-06 05:40:43,59,260,Operations,US,48,51,Admin,UK,30,6
260,51,2021-06-06 05:49:24,40,260,Operations,US,48,51,Admin,UK,30,6
260,51,2021-06-06 06:24:19,14,260,Operations,US,48,51,Admin,UK,30,6
260,51,2021-06-06 06:44:20,16,260,Operations,US,48,51,Admin,UK,30,6
260,267,2021-06-06 06:44:30,42,260,Operations,US,48,267,Admin,Germany,47,6
260,51,2021-06-06 06:55:43,59,260,Operations,US,48,51,Admin,UK,30,6
260,51,2021-06-06 06:56:55,64,260,Operations,US,48,51,Admin,UK,30,6
144,260,2021-06-06 08:20:05,24,144,Sales,US,50,260,Operations,US,48,6
260,127,2021-06-06 09:22:33,24,260,Operations,US,48,127,Engineering,UK,35,6
260,199,2021-06-06 09:32:44,14,260,Operations,US,48,199,IT,US,55,6
260,127,2021-06-06 09:33:04,59,260,Operations,US,48,127,Engineering,UK,35,6
260,127,2021-06-06 09:46:00,35,260,Operations,US,48,127,Engineering,UK,35,6
